"Ser No / Item ID","Sec Cat/Part No / Part No / Category Code","Barcode / Barcode / QR Code","Nomenclature / Equipment Name","Category","Sub-Category","UOM / Unit of Measure (UOM)","Auth Qty / Authorized Qty","System Qty","Physical Qty","Serviceable","Unserviceable","Condition","Status","Repairable","Issued To","Issued By","Location / Store Room","Min Stock Level","Date of Entry / Last Updated","Date of Exit","Time Entry","Remarks"
"SER-1001","SKU-CO-1001","","Dell Latitude Model 100 v1","Computing","Laptops","Unit","5","5","5","5","0","Good condition","Low Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 1 barcode auto-assigned on import"
"SER-1002","SKU-PE-1002","","Razer DeathAdder Model 101 v2","Peripherals","USB Hubs","Set","6","6","6","6","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 2 barcode auto-assigned on import"
"SER-1003","SKU-NE-1003","","TP-Link Omada Model 102 v3","Networking","Routers","Pack","7","7","7","7","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 3 barcode auto-assigned on import"
"SER-1004","SKU-OF-1004","","Epson WorkForce Pro Model 103 v4","Office Tech","3D Printers","Piece","8","8","8","8","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 4 barcode auto-assigned on import"
"SER-1005","SKU-SE-1005","","Axis Camera Model 104 v5","Security & Access","Access Control","Box","9","9","9","9","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 5 barcode auto-assigned on import"
"SER-1006","SKU-FI-1006","","Axon Body 3 Model 105 v1","Field Ops","Rugged Tablets","Kit","10","10","10","10","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 6 barcode auto-assigned on import"
"SER-1007","SKU-AU-1007","","Samsung Flip Pro Model 106 v2","Audio Visual","Soundbars","Unit","11","11","11","11","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 7 barcode auto-assigned on import"
"SER-1008","SKU-PO-1008","","Blue Sky Solar Model 107 v3","Power & Energy","Power Distribution","Set","12","12","12","12","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 8 barcode auto-assigned on import"
"SER-1009","SKU-IN-1009","","Keyence Sensor Model 108 v4","Industrial Auto","Flow Meters","Pack","13","13","13","13","0","Good condition","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 9 barcode auto-assigned on import"
"SER-1010","SKU-FA-1010","","Ecobee Smart Thermostat Model 109 v5","Facility & Climate","Dehumidifiers","Piece","14","14","14","14","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 10 barcode auto-assigned on import"
"SER-1011","SKU-RO-1011","","DJI Matrice 300 RTK Model 110 v1","Robotics & Drones","Inspection Drones","Box","15","15","15","15","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 11 barcode auto-assigned on import"
"SER-1012","SKU-ME-1012","","Mettler Toledo Balance Model 111 v2","Medical & Lab","Spectrophotometers","Kit","16","16","16","16","0","Operational","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 12 barcode auto-assigned on import"
"SER-1013","SKU-CO-1013","","Asus ExpertBook Model 112 v3","Computing","Laptops","Unit","17","17","17","17","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 13 barcode auto-assigned on import"
"SER-1014","SKU-PE-1014","","Logitech MX Master Model 113 v4","Peripherals","USB Hubs","Set","18","18","18","18","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 14 barcode auto-assigned on import"
"SER-1015","SKU-NE-1015","","FS.com 10G SFP+ Model 114 v5","Networking","Routers","Pack","19","19","19","19","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 15 barcode auto-assigned on import"
"SER-1016","SKU-OF-1016","","Fellowes Powershred Model 115 v1","Office Tech","Printers","Piece","20","20","20","20","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 16 barcode auto-assigned on import"
"SER-1017","SKU-SE-1017","","ZKTeco Biometric Model 116 v2","Security & Access","Smart Locks","Box","21","21","21","21","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 17 barcode auto-assigned on import"
"SER-1018","SKU-FI-1018","","CipherLab RS35 Model 117 v3","Field Ops","Barcode Scanners","Kit","22","22","22","22","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 18 barcode auto-assigned on import"
"SER-1019","SKU-AU-1019","","Sony SRG-X400 Model 118 v4","Audio Visual","PTZ Cameras","Unit","23","23","23","23","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 19 barcode auto-assigned on import"
"SER-1020","SKU-PO-1020","","CyberPower OR2200LCD Model 119 v5","Power & Energy","Solar Inverters","Set","24","24","24","24","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 20 barcode auto-assigned on import"
"SER-1021","SKU-IN-1021","","Siemens S7-1200 Model 120 v1","Industrial Auto","PLC Controllers","Pack","25","25","25","25","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 21 barcode auto-assigned on import"
"SER-1022","SKU-FA-1022","","Sensaphone Remote Model 121 v2","Facility & Climate","Smart Thermostats","Piece","26","26","26","26","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 22 barcode auto-assigned on import"
"SER-1023","SKU-RO-1023","","Livox Mid-70 Model 122 v3","Robotics & Drones","Robotic Arms","Box","27","27","27","27","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 23 barcode auto-assigned on import"
"SER-1024","SKU-ME-1024","","Thermo Scientific Pico 17 Model 123 v4","Medical & Lab","Thermal Cyclers","Kit","28","28","28","28","0","Operational","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 24 barcode auto-assigned on import"
"SER-1025","SKU-CO-1025","","Apple iMac Model 124 v5","Computing","Laptops","Unit","29","29","29","29","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 25 barcode auto-assigned on import"
"SER-1026","SKU-PE-1026","","Dell Thunderbolt Dock Model 125 v1","Peripherals","USB Hubs","Set","5","5","5","5","0","Brand New","Low Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 26 barcode auto-assigned on import"
"SER-1027","SKU-NE-1027","","Fortinet FortiGate 60F Model 126 v2","Networking","Routers","Pack","6","6","6","6","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 27 barcode auto-assigned on import"
"SER-1028","SKU-OF-1028","","Zebra ZD421 Model 127 v3","Office Tech","Scanners","Piece","7","7","7","7","0","Operational","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 28 barcode auto-assigned on import"
"SER-1029","SKU-SE-1029","","Yale Smart Lock Pro Model 128 v4","Security & Access","Intrusion Detectors","Box","8","8","8","8","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 29 barcode auto-assigned on import"
"SER-1030","SKU-FI-1030","","Honeywell Voyager Model 129 v5","Field Ops","Thermal Printers","Kit","9","9","9","9","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 30 barcode auto-assigned on import"
"SER-1031","SKU-AU-1031","","Epson Pro EX10000 Model 130 v1","Audio Visual","Projectors","Unit","10","10","10","10","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 31 barcode auto-assigned on import"
"SER-1032","SKU-PO-1032","","Raritan PX3 Model 131 v2","Power & Energy","Battery Packs","Set","11","11","11","11","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 32 barcode auto-assigned on import"
"SER-1033","SKU-IN-1033","","Mitsubishi MELSEC Model 132 v3","Industrial Auto","HMI Panels","Pack","12","12","12","12","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 33 barcode auto-assigned on import"
"SER-1034","SKU-FA-1034","","Levoit Core 600S Model 133 v4","Facility & Climate","Access Floors","Piece","13","13","13","13","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 34 barcode auto-assigned on import"
"SER-1035","SKU-RO-1035","","MiR250 AGV Model 134 v5","Robotics & Drones","AGV Carts","Box","14","14","14","14","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 35 barcode auto-assigned on import"
